ElapsedDays,AvgPay,NumPays,Day,Month,Year,Weekday
9,145.954,15,8,7,1998,2
42,244.9575,12,7,8,1998,4
105,254.9283333333333,36,12,10,1998,0
154,190.875,2,25,11,1998,2
203,363.9666336633664,101,15,1,1999,4
275,305.5,4,29,3,1999,0
288,332.2741111111111,90,12,4,1999,0
428,284.25,16,25,8,1999,2
1571,252.9355555555556,45,16,10,2002,2
2026,239.67357142857145,14,14,1,2004,2
2221,201.2228125,32,27,7,2004,1
3027,237.5,2,10,10,2006,1
3027,222.99864864864867,74,11,10,2006,2
3879,219.5027777777778,36,9,2,2009,0
3879,235.5763636363636,55,9,2,2009,0
4799,433.3167272727272,55,17,8,2011,2
5743,307.0,6,19,3,2014,2
6993,251.7363636363636,11,16,8,2017,2
6994,230.1863636363636,44,18,8,2017,4
7605,204.11505376344087,93,21,4,2019,6
7875,136.0,2,15,1,2020,2
8236,266.0,1,15,1,2021,4
8236,261.0,2,15,1,2021,4
