PayAmt,ElapsedDays,AvgPay,NumPays,Day,Month,Year,Weekday
184.0,0,213.36,7,29,6,1998,0
220.0,1,171.265,6,30,6,1998,1
282.0,1,321.91,7,30,6,1998,1
271.0,1,219.58597402597405,77,30,6,1998,1
281.8,2,247.08,5,1,7,1998,2
181.0,2,251.39605263157893,76,1,7,1998,2
347.0,2,271.2975,4,1,7,1998,2
396.0,2,331.06486486486483,37,1,7,1998,2
210.0,2,241.23166666666663,6,1,7,1998,2
631.0,2,242.10909090909087,11,1,7,1998,2
219.0,2,308.7333333333333,15,1,7,1998,2
855.0,2,505.0,2,1,7,1998,2
313.0,2,247.08,5,1,7,1998,2
695.0,2,349.91,4,1,7,1998,2
398.0,3,345.5,2,2,7,1998,3
215.0,3,268.6,8,2,7,1998,3
222.0,3,258.048,10,2,7,1998,3
204.0,7,199.84727272727275,33,6,7,1998,0
56.0,7,221.37,5,6,7,1998,0
350.76,7,259.9054545454546,11,6,7,1998,0
34.58,7,186.988,5,6,7,1998,0
183.0,7,251.6636842105264,38,6,7,1998,0
198.0,7,161.04000000000002,10,6,7,1998,0
287.4,7,245.3978947368421,19,6,7,1998,0
207.0,7,213.5,2,6,7,1998,0
184.0,7,254.9283333333333,36,6,7,1998,0
468.0,7,324.975,4,6,7,1998,0
580.8,7,349.91,4,6,7,1998,0
232.0,7,308.7333333333333,15,6,7,1998,0
192.4,7,199.84727272727275,33,6,7,1998,0
253.0,7,247.6,5,6,7,1998,0
955.0,7,331.06486486486483,37,6,7,1998,0
69.8,7,144.325,4,6,7,1998,0
302.0,8,339.4,5,7,7,1998,1
90.0,8,168.8181818181818,22,7,7,1998,1
252.48,8,290.088,10,7,7,1998,1
391.0,9,215.5606666666667,15,8,7,1998,2
257.0,9,434.474,20,8,7,1998,2
75.0,9,122.46875,8,8,7,1998,2
304.0,9,251.08333333333331,24,8,7,1998,2
176.25,9,340.70454545454544,11,8,7,1998,2
254.0,10,321.4,5,9,7,1998,3
103.0,10,68.0,2,9,7,1998,3
423.0,10,231.398,5,9,7,1998,3
173.0,10,258.048,10,9,7,1998,3
420.0,11,331.06486486486483,37,10,7,1998,4
384.0,11,235.0,4,10,7,1998,4
442.8,11,347.7333333333333,3,10,7,1998,4
113.0,11,161.04000000000002,10,10,7,1998,4
641.0,11,460.0,2,10,7,1998,4
